newtaxon_1,newtaxon_2,newtaxon_3,newtaxon_4,newtaxon_5,newtaxon_6,newtaxon_7,newtaxon_8,newtaxon_9,newtaxon_10,newtaxon_11,newtaxon_12,newtaxon_13,newtaxon_14,newtaxon_15,newtaxon_16,newtaxon_17,newtaxon_18,newtaxon_19,newtaxon_20,newtaxon_21,newtaxon_22,newtaxon_23,newtaxon_24,newtaxon_25,newtaxon_26,newtaxon_27,newtaxon_28,newtaxon_29,newtaxon_30,newtaxon_31,newtaxon_32,newtaxon_33,newtaxon_34,newtaxon_35,newtaxon_36,newtaxon_37,newtaxon_38,newtaxon_39,newtaxon_40,newtaxon_41,newtaxon_42,newtaxon_43,newtaxon_44,newtaxon_45,newtaxon_46,newtaxon_47,newtaxon_48,newtaxon_49,newtaxon_50
0,0.08490566037735849,0,0,0.04716981132075472,0.0660377358490566,0,0,0,0,0.018867924528301886,0,0.018867924528301886,0.009433962264150943,0.009433962264150943,0.07547169811320754,0.04716981132075472,0.11320754716981132,0,0,0.009433962264150943,0,0,0,0,0,0,0.02830188679245283,0,0,0.018867924528301886,0,0.08490566037735849,0,0.018867924528301886,0.009433962264150943,0.02830188679245283,0.0660377358490566,0,0,0,0,0.0660377358490566,0,0.02830188679245283,0.09433962264150944,0.05660377358490566,0,0,0
0.03260869565217391,0.043478260869565216,0.03260869565217391,0,0.010869565217391304,0,0.09782608695652174,0,0,0,0.043478260869565216,0,0,0,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.11956521739130435,0,0.043478260869565216,0.010869565217391304,0.010869565217391304,0.010869565217391304,0,0.05434782608695652,0,0.021739130434782608,0,0,0.021739130434782608,0.05434782608695652,0,0.010869565217391304,0.05434782608695652,0.05434782608695652,0,0,0,0.08695652173913043,0,0,0,0.03260869565217391,0,0.03260869565217391,0,0,0,0.010869565217391304,0.021739130434782608
0.02830188679245283,0.10377358490566038,0,0,0.02830188679245283,0,0.009433962264150943,0,0.02830188679245283,0,0,0.03773584905660377,0,0.04716981132075472,0.02830188679245283,0.03773584905660377,0,0.0660377358490566,0,0.009433962264150943,0,0.018867924528301886,0,0,0.08490566037735849,0,0,0.009433962264150943,0,0.04716981132075472,0.018867924528301886,0.009433962264150943,0,0,0.009433962264150943,0.04716981132075472,0,0,0.03773584905660377,0.02830188679245283,0.02830188679245283,0,0.009433962264150943,0.11320754716981132,0.05660377358490566,0.03773584905660377,0.018867924528301886,0,0,0
0.09345794392523364,0.12149532710280374,0,0.09345794392523364,0.06542056074766354,0.037383177570093455,0.037383177570093455,0.06542056074766354,-0,0,0.028037383177570093,0,0.028037383177570093,0.018691588785046728,0,0,0,0,0,0.018691588785046728,0,0,0.04672897196261682,0,0,0,0.028037383177570093,0,0,0,0,0.009345794392523364,0.018691588785046728,0,0.028037383177570093,0,0.028037383177570093,0,0.018691588785046728,0.037383177570093455,0,0.018691588785046728,0.018691588785046728,0,0.018691588785046728,0.028037383177570093,0.009345794392523364,0.009345794392523364,0.06542056074766354,0.009345794392523364
0.018691588785046728,0,0,0.018691588785046728,0.018691588785046728,0,0.018691588785046728,0.06542056074766354,0.028037383177570093,0,0,0,0.009345794392523364,0,0,0.09345794392523364,0,0.056074766355140186,0.056074766355140186,0,0,0.009345794392523364,0.04672897196261682,0,0,0,0.028037383177570093,0,0.018691588785046728,0.056074766355140186,0,0.028037383177570093,0.08411214953271028,0.009345794392523364,0,0.018691588785046728,0.04672897196261682,0,0.08411214953271028,0,0.018691588785046728,0.018691588785046728,0,0,0.07476635514018691,0,0.009345794392523364,0.056074766355140186,0.009345794392523364,0
0,0.04716981132075472,0,0.05660377358490566,0,0.03773584905660377,0.009433962264150943,0.02830188679245283,0.009433962264150943,0,0,0.02830188679245283,0.02830188679245283,0,0.02830188679245283,0,0.02830188679245283,0.08490566037735849,0,0.009433962264150943,0.018867924528301886,0,0.02830188679245283,0.05660377358490566,0.11320754716981132,0.02830188679245283,0.009433962264150943,0.009433962264150943,0.018867924528301886,0,0,0.05660377358490566,0.02830188679245283,0,0.018867924528301886,0.03773584905660377,0,0,0,0,0,0,0.03773584905660377,0,0.02830188679245283,0,0.02830188679245283,0,0.02830188679245283,0.05660377358490566
0,0.0297029702970297,0.039603960396039604,0,0,0,0.0594059405940594,0,0,0.009900990099009901,0.019801980198019802,0,0.039603960396039604,0.019801980198019802,0,0.04950495049504951,0.019801980198019802,0.04950495049504951,0,0.039603960396039604,0.07920792079207921,0.009900990099009901,0,0.019801980198019802,0.0891089108910891,0,0,0,0,0.04950495049504951,0,0.0297029702970297,0.04950495049504951,0,0.019801980198019802,0.04950495049504951,0.019801980198019802,0.019801980198019802,0.06930693069306931,0,0,0,0.009900990099009901,0,0.0297029702970297,0.019801980198019802,0.019801980198019802,0,0.0297029702970297,0.009900990099009901
0.10576923076923077,0,0,0,0.07692307692307693,0.0673076923076923,0,0,0,0,0,0.009615384615384616,0,0,0,0.0673076923076923,0,0,0.07692307692307693,0.057692307692307696,0.009615384615384616,0,0,0.15384615384615385,0,0,0,0.019230769230769232,0.057692307692307696,0,0,0,0,0,0.019230769230769232,0,0,0.07692307692307693,0,0.009615384615384616,0.028846153846153848,0,0,0,0,0.04807692307692308,0,0.10576923076923077,0.009615384615384616,0
0,0,0,0,0.01904761904761905,0.05714285714285714,0.009523809523809525,0.01904761904761905,0.0380952380952381,0.047619047619047616,0.02857142857142857,0.05714285714285714,0,0,0.01904761904761905,0.01904761904761905,0.009523809523809525,0,0.0380952380952381,0,0.05714285714285714,0,0,0.06666666666666667,0.05714285714285714,0,0.0380952380952381,0,0.02857142857142857,0.02857142857142857,0.009523809523809525,0.047619047619047616,0,0,0,0.01904761904761905,0,0,0.009523809523809525,0.02857142857142857,0,0.01904761904761905,0,0,0,0.13333333333333333,0,0.047619047619047616,0.047619047619047616,0
0,0,0,0,0.18666666666666668,0,0,0,0,0,0,0,0,0,0.22666666666666666,0,0,0,0,0,0,0,0,0.22666666666666666,0,0,0,0,0,0.10666666666666667,0,0,0,0.013333333333333334,0,0,0,0,0,0,0.013333333333333334,0,0,0,0,0,0,0,0,0.22666666666666666
0,0,0,0,0.050505050505050504,0.1414141414141414,0,0.050505050505050504,0,0,0.010101010101010102,0.010101010101010102,0,0,0.050505050505050504,0,0,0.020202020202020204,0.1111111111111111,0.020202020202020204,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0.08080808080808081,0,0,0,0,0,0,0,0,0,0.1717171717171717,0.04040404040404041,0,0,0.15151515151515152,0,0,0
